fleet,rank,sailNumber,boatName,beforeRace1,r1_hcapAchieved,r1_change,r1_timeDelta,r1_nextHcap,r2_hcapAchieved,r2_change,r2_timeDelta,r2_nextHcap,r3_hcapAchieved,r3_change,r3_timeDelta,r3_nextHcap,r4_hcapAchieved,r4_change,r4_timeDelta,r4_nextHcap,r5_hcapAchieved,r5_change,r5_timeDelta,r5_nextHcap,r6_hcapAchieved,r6_change,r6_timeDelta,r6_nextHcap,changeOverSeries,compositeHcap
CR0,1,7737,Impetutous,1.140,1.1711,+0.009,0:00:33,1.149,1.1431,-0.002,0:02:00,1.147,1.1617,+0.004,0:00:23,1.151,1.1478,-0.001,0:05:14,1.150,1.1693,+0.006,0:00:00,1.156,1.1229,-0.010,0:12:29,1.146,+0.006,1.15477
CR0,2,6888,El Pocko,1.125,1.1187,-0.002,0:04:59,1.123,1.1011,-0.007,0:02:45,1.116,1.1042,-0.004,0:02:10,1.112,1.1797,+0.020,0:00:00,1.132,1.1263,-0.002,0:01:39,1.130,1.1862,+0.017,0:00:00,1.147,+0.022,1.12249
CR0,3,9494,Victric 3,1.087,1.0274,-0.018,0:12:34,1.069,1.1106,+0.012,0:00:00,1.081,1.1007,+0.006,0:00:00,1.087,1.0681,-0.006,0:06:55,1.081,1.0678,-0.004,0:02:19,1.077,1.0492,-0.008,0:12:53,1.069,-0.018,1.06795
CR0,4,4240,Prima Forte,1.099,1.1338,+0.010,0:00:00,1.109,1.0952,-0.004,0:02:26,1.105,1.0824,-0.007,0:02:58,1.098,1.0524,-0.014,0:09:11,1.084,1.0836,0.000,0:01:21,1.084,1.0886,+0.001,0:07:28,1.085,-0.014,1.08613
