fleet,rank,sailNumber,boatName,beforeRace1,r1_hcapAchieved,r1_change,r1_timeDelta,r1_nextHcap,r2_hcapAchieved,r2_change,r2_timeDelta,r2_nextHcap,r3_hcapAchieved,r3_change,r3_timeDelta,r3_nextHcap,r4_hcapAchieved,r4_change,r4_timeDelta,r4_nextHcap,r5_hcapAchieved,r5_change,r5_timeDelta,r5_nextHcap,r6_hcapAchieved,r6_change,r6_timeDelta,r6_nextHcap,changeOverSeries,compositeHcap
CR1,1,53222,Riders on the Storm,1.012,0.9566,-0.017,0:14:21,0.995,0.9727,-0.007,0:03:39,0.988,0.9976,+0.003,0:00:14,0.991,0.9629,-0.008,0:06:46,0.983,1.0015,+0.006,0:00:34,0.989,1.0125,+0.007,0:00:00,0.996,-0.016,0.98517
CR1,2,1242,White Mischief,1.067,1.1086,+0.012,0:00:00,1.079,1.1110,+0.010,0:00:53,1.089,1.0669,-0.007,0:02:32,1.082,1.0480,-0.010,0:06:30,1.072,1.0576,-0.004,0:02:52,1.068,1.0501,-0.005,0:07:10,1.063,-0.004,1.06226
CR1,3,1095,Dear Prudence,0.988,0.9845,-0.001,0:06:20,0.987,0.9964,+0.003,0:01:59,0.990,0.9900,0.000,NF,0.990,0.9741,-0.005,0:05:25,0.985,1.0108,+0.008,0:00:00,0.993,1.0122,+0.006,0:00:48,0.999,+0.011,0.99320
CR1,4,7778,Gringo,1.000,1.0040,+0.001,0:05:06,1.001,0.9730,-0.008,0:03:56,0.993,1.0055,+0.004,0:00:00,0.997,1.0330,+0.011,0:00:00,1.008,1.0080,0.000,NF,1.008,1.0080,0.000,NF,1.008,+0.008,1.00674
CR1,5,8933,Bon Exemple,1.055,1.0805,+0.008,0:02:00,1.063,1.0216,-0.012,0:04:17,1.051,1.0510,0.000,NF,1.051,1.0842,+0.010,0:00:25,1.061,1.0311,-0.009,0:04:02,1.052,1.0411,-0.003,0:06:04,1.049,-0.006,1.04607
CR1,6,28898,Powder Monkey,1.018,1.0058,-0.004,0:07:25,1.014,1.0642,+0.015,0:00:00,1.029,1.0290,0.000,NF,1.029,1.0378,+0.003,0:02:40,1.032,1.0320,0.000,NF,1.032,1.0181,-0.004,0:06:47,1.028,+0.010,1.03050
